Date,Open,High,Low,Close,Adj Close,Volume,Predicted with avg 68 per loss,predicted close
7/20/23,19831.69922,19991.84961,19758.40039,19979.15039,19979.15039,274700,19965.324,13.82639
7/21/23,19800.44922,19887.40039,19700,19745,19745,312500,19758.914,-13.914
7/24/23,19748.44922,19782.75,19658.30078,19672.34961,19672.34961,265600,19682.309,-9.95939
7/25/23,19729.34961,19729.34961,19615.94922,19680.59961,19680.59961,369700,19672.982,7.61761
7/26/23,19733.34961,19825.59961,19716.69922,19778.30078,19778.30078,244700,19785.041,-6.74022
7/27/23,19850.90039,19867.55078,19603.55078,19659.90039,19659.90039,334900,19664.555,-4.65461
7/28/23,19659.75,19695.90039,19563.09961,19646.05078,19646.05078,258700,19640.576,5.47478
7/31/23,19666.34961,19772.75,19597.59961,19753.80078,19753.80078,295100,19743.953,9.84778
08/01/23,19784,19795.59961,19704.59961,19733.55078,19733.55078,298000,19734.877,-1.32622
08/02/23,19655.40039,19678.25,19423.55078,19526.55078,19526.55078,290700,19520.703,5.84778
08/03/23,19463.75,19537.65039,19296.44922,19381.65039,19381.65039,315700,19386.934,-5.28361
08/04/23,19462.80078,19538.84961,19436.44922,19517,19517,280800,19516.496,0.504
08/07/23,19576.84961,19620.44922,19524.80078,19597.30078,19597.30078,216600,19593.453,3.84778
08/08/23,19627.19922,19634.40039,19533.09961,19570.84961,19570.84961,260300,19569.963,0.88661
08/09/23,19578.80078,19645.5,19467.5,19632.55078,19632.55078,266500,19614.787,17.76378
08/10/23,19605.55078,19623.59961,19495.40039,19543.09961,19543.09961,312200,19542.914,0.18561
08/11/23,19554.25,19557.75,19412.75,19428.30078,19428.30078,235500,19434.309,-6.00822
8/14/23,19383.94922,19465.84961,19257.90039,19434.55078,19434.55078,243900,19417.885,16.66578
8/16/23,19369,19482.75,19317.19922,19465,19465,0,19457.66,7.34
8/17/23,19450.55078,19461.55078,19326.25,19365.25,19365.25,268700,19366.383,-1.133
8/18/23,19301.75,19373.80078,19253.59961,19310.15039,19310.15039,256100,19315.562,-5.41161
8/21/23,19320.65039,19425.94922,19296.30078,19393.59961,19393.59961,262600,19394.97,-1.37039
8/22/23,19417.09961,19443.5,19381.30078,19396.44922,19396.44922,208700,19401.684,-5.23478
8/23/23,19439.19922,19472.05078,19366.59961,19444,19444,225200,19437.879,6.121
8/24/23,19535.15039,19584.44922,19369,19386.69922,19386.69922,268300,19402.752,-16.05278
8/25/23,19297.40039,19339.55078,19229.69922,19265.80078,19265.80078,466500,19270.984,-5.18322
8/28/23,19298.34961,19366.84961,19249.69922,19306.05078,19306.05078,248200,19310.816,-4.76522
8/29/23,19374.84961,19377.90039,19309.09961,19342.65039,19342.65039,307400,19340.408,2.24239
8/30/23,19433.44922,19452.80078,19334.75,19347.44922,19347.44922,233000,19355.098,-7.64878
8/31/23,19375.55078,19388.19922,19223.65039,19253.80078,19253.80078,562600,19258.79,-4.98922
09/01/23,19258.15039,19458.55078,19255.69922,19435.30078,19435.30078,333000,19435.516,-0.21522
